id,name,chemical,description,price,stock_quantity,category,status,image_path
35,2blink Eye Drop 15mll,"Polyethylene Glycol, Propylene Glycol","Product Overview 2blink Eye Drop is a revolutionary solution for dry and irritated eyes. This ophthalmic solution is specially formulated to provide relief from discomfort, redness, and itching caused by various environmental factors such as pollution, dust, smoke, and prolonged screen time. Key Benefits - Provides instant relief from dryness and irritation - Reduces redness and itching - Restores moisture and comfort to the eyes - Suitable for all ages - Can be used with contact lenses How It Works 2blink Eye Drop contains a unique blend of Polyethylene Glycol and Propylene Glycol that work together to lubricate the eyes, reducing friction and discomfort. These active ingredients create a protective barrier over the surface of the eye, locking in moisture and preventing further irritation. Directions for Use 1. Wash your hands thoroughly before using the eye drops. 2. Tilt your head back and gently pull down your lower eyelid to create a small pocket. 3. Hold the dropper directly over your eye and squeeze one drop into the pocket. 4. Blink a few times to spread the solution evenly over the eye. 5. Repeat the process in the other eye if necessary. 6. Replace the cap tightly after each use. Precautions - Avoid touching the tip of the dropper to prevent contamination. - Do not use the eye drops if the solution has changed color or become cloudy. - Consult your doctor before using the product if you are pregnant or nursing. - Discontinue use if you experience any irritation or allergic reaction. Storage Instructions Store the eye drops in a cool, dry place away from direct sunlight. Keep the bottle tightly closed when not in use. Do not freeze the product. Manufacturer Information 2blink Eye Drop is manufactured by Sante, a trusted brand known for its high-quality ophthalmic products. Sante is committed to providing effective solutions for eye health and comfort.
Form: Eye Drop
Size: Pack of 1",479,100,Sante,in_stock,/static/uploads/medicines/1.jpeg
36,2sum 1gm Injection,"Cefoperazone, Sulbactam","- **Name**: 2sum 1gm Injection - **Key ingredients**: Cefoperazone, Sulbactam - **Dosage form**: Injection - **Manufacturer**: Sami - **Category**: MEDICINE 2Sum 1GM Injection is a powerful medication designed to combat severe bacterial infections effectively. Formulated with the combination of cefoperazone and sulbactam, two potent antibiotics, this injection provides targeted therapy against susceptible bacteria to promote rapid healing. Cefoperazone, a cephalosporin antibiotic, works by disrupting the bacterial cell wall synthesis, making it an excellent choice for treating a range of infections, including respiratory tract infections, urinary tract infections, skin and soft tissue infections, intra-abdominal infections, and gynecological infections. Sulbactam, a beta-lactamase inhibitor, enhances the activity of cefoperazone by preventing its breakdown by certain bacterial enzymes. This synergistic effect helps overcome antibiotic resistance, ensuring a more comprehensive treatment approach. Available as a sterile powder, 2Sum 1GM Injection needs to be reconstituted with the provided sterile diluent prior to administration. It can be administered intravenously or intramuscularly as directed by your healthcare provider. When purchasing 2Sum 1GM Injection from dwatson.pk, you can rest assured that you are receiving a genuine and high-quality product. With fast delivery services across Pakistan, dwatson.pk prioritizes your convenience and satisfaction, making it easier for you to access the medication you need. For detailed dosage instructions, administration guidelines, and any specific precautions or warnings, consult with your healthcare provider, pharmacist, or physician. They can provide personalized advice based on your medical history and condition. Make sure to complete the full course of treatment prescribed by your healthcare provider, even if your symptoms improve before the recommended duration. This will help ensure the eradication of the infection and reduce the risk of recurrence. Don't hesitate to visit www.dwatson.pk to check the availability of 2Sum 1GM Injection and explore their wide range of genuine medicines. Trust in dwatson.pk for your medication needs and experience reliable service every step of the way.
Form: Injection
Size: Pack of 1 Injection",460,100,Sami,in_stock,/static/uploads/medicines/2.png
37,2sum 2gm Injection,"Cefoperazone, Sulbactam","Introducing 2sum 2gm Injection, a powerful medication formulated to fight off bacterial infections effectively. This injection contains key ingredients Cefoperazone and Sulbactam, known for their potent antibiotic properties. Manufactured by Sami, a trusted name in the pharmaceutical industry, you can trust the quality and efficacy of this medication. 2sum 2gm Injection is a must-have in your medicine cabinet for any bacterial infections that may arise. This injection is available for purchase on www.dwatson.pk. Don't wait until it's too late - stock up on 2sum 2gm Injection today and be prepared for any bacterial infections that come your way.
Form: Injection
Size: Pack of 1 Injection",590,100,Sami,in_stock,/static/uploads/medicines/3.png
38,2sum 500gm Injection,"Cefoperazone, Sulbactam","Form: Injection
Size: Pack of 1 Injection",300,100,Sami,in_stock,/static/uploads/medicines/4.png
39,3d Ultra Tablets,Nutritional Supplements,"Form: Tablets
Size: Pack of 30 Tablets",850,100,,in_stock,/static/uploads/medicines/5.jpg
40,A2a 100mg Tablets,Losartan Potassium,"Form: Tablets
Size: Pack of 10 Tablets",378,100,Wilsons,in_stock,/static/uploads/medicines/6.png
41,A2a 25mg Tablets,Losartan Potassium,"Form: Tablets
Size: Pack of 20 Tablets",303,100,Wilsons,in_stock,/static/uploads/medicines/7.png
42,A2a 50mg Tablets,Losartan Potassium,"Form: Tablets
Size: Pack of 20 Tablets",575,100,Wilsons,in_stock,/static/uploads/medicines/8.png
43,Abacus 100mg 5ml Syp 50ml,Cefpodoxime,"Form: Suspension
Size: Pack of 1 Suspension",440,100,Sami,in_stock,/static/uploads/medicines/9.jpg
44,Abacus 100mg Tablets 10s,Cefpodoxime,"Form: Tablets
Size: Pack of 10 Tablets",320,100,Sami,in_stock,/static/uploads/medicines/10.png
